"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.800813246E1,4.483384406E1,-5.721146029E-1,5.497841584E1,1.018785458E2,2.014872074E0,2.476804349E1,1.759880140E-1,2.500000000E1,4.787648678E0,-1.000000000E0
6.900812531E1,4.483386540E1,-5.721045737E-1,5.643858059E1,1.033387049E2,1.973259211E0,2.069223226E1,1.778858157E-1,2.500000000E1,5.065250397E0,-1.000000000E0
7.000811791E1,4.483388011E1,-5.720923857E-1,1.944446460E1,6.634458105E1,1.973259211E0,2.822700496E1,1.796221565E-1,2.500000000E1,3.000000000E0,-1.000000000E0
7.100810969E1,4.483389557E1,-5.720892121E-1,1.574505300E1,6.264516841E1,1.396503329E0,5.255917993E1,1.812642928E-1,2.500000000E1,3.000000000E0,-1.000000000E0
7.200810254E1,4.483390219E1,-5.720706013E-1,1.537511184E1,6.227521386E1,1.381306529E0,6.224253036E1,1.827247794E-1,2.500000000E1,3.000000000E0,-1.000000000E0
7.300809503E1,4.483390737E1,-5.720535813E-1,1.533811772E1,6.223820743E1,1.381306529E0,6.499778086E1,1.839175637E-1,2.500000000E1,3.000000000E0,-1.000000000E0
7.400808692E1,4.483391565E1,-5.720439645E-1,1.533441831E1,6.223450153E1,6.763319373E-1,6.937944283E1,1.842394675E-1,2.500000000E1,3.000000000E0,-1.000000000E0
7.500807977E1,4.483391809E1,-5.720417704E-1,1.533404837E1,6.223413015E1,6.763319373E-1,7.442458939E1,1.848327699E-1,2.500000000E1,3.000000000E0,-1.000000000E0
7.600807214E1,4.483392095E1,-5.720354176E-1,1.533401137E1,6.223408864E1,8.380424380E-1,8.098698050E1,1.853154588E-1,2.500000000E1,3.000000000E0,-1.000000000E0
7.700806475E1,4.483391997E1,-5.720294557E-1,1.533400767E1,6.223408039E1,1.093166232E0,8.856371617E1,1.857133269E-1,2.500000000E1,3.000000000E0,-1.000000000E0
7.800805712E1,4.483391867E1,-5.720247565E-1,1.533400730E1,6.223407638E1,1.150169015E0,9.256399405E1,1.868125512E-1,2.500000000E1,3.000000000E0,-1.000000000E0
7.900804925E1,4.483391844E1,-5.720108201E-1,1.533400727E1,6.223406588E1,1.093166232E0,9.462016103E1,1.874710923E-1,2.500000000E1,3.000000000E0,-1.000000000E0
8.000804102E1,4.483391789E1,-5.720025049E-1,1.533400726E1,6.223405959E1,7.818289995E-1,1.186450304E2,1.881443608E-1,2.500000000E1,3.000000000E0,-1.000000000E0
8.100803339E1,4.483392395E1,-5.720024646E-1,1.533400726E1,6.223406008E1,5.261210203E-1,1.411018318E2,1.895833214E-1,2.500000000E1,3.000000000E0,-1.000000000E0
8.200802660E1,4.483392418E1,-5.720207100E-1,1.533400726E1,6.223407378E1,6.095109582E-1,1.787278413E2,1.925343899E-1,2.500000000E1,3.000000000E0,-1.000000000E0
8.300801861E1,4.483391168E1,-5.720537210E-1,1.533400726E1,6.223409745E1,8.001950979E-1,1.905157916E2,1.935831369E-1,2.500000000E1,3.000000000E0,-1.000000000E0
8.400801086E1,4.483390582E1,-5.720641377E-1,1.533400726E1,6.223410476E1,8.001950979E-1,1.884665026E2,1.946881387E-1,2.500000000E1,3.000000000E0,-1.000000000E0
8.500800395E1,4.483389802E1,-5.720728238E-1,1.533400726E1,6.223411060E1,1.005978703E0,1.870080523E2,1.950079810E-1,2.500000000E1,3.000000000E0,-1.000000000E0
8.600799561E1,4.483389704E1,-5.720766401E-1,1.533400726E1,6.223411337E1,1.005978703E0,1.896745172E2,1.954709118E-1,2.500000000E1,3.000000000E0,-1.000000000E0
8.700798786E1,4.483389768E1,-5.720824414E-1,1.533400726E1,6.223411778E1,6.512743421E-3,1.890733649E2,1.959087762E-1,2.500000000E1,3.000000000E0,-1.000000000E0
8.800798118E1,4.483389557E1,-5.720871243E-1,1.533400726E1,6.223412111E1,1.008834690E-1,2.105618094E2,1.967706183E-1,2.500000000E1,3.000000000E0,-1.000000000E0
8.900797331E1,4.483390175E1,-5.720937041E-1,1.533400726E1,6.223412657E1,1.939292550E-1,1.993952287E2,1.977773447E-1,2.500000000E1,3.000000000E0,-1.000000000E0
9.000796533E1,4.483389588E1,-5.721034143E-1,1.533400726E1,6.223413335E1,1.939292550E-1,2.253033794E2,1.981726955E-1,2.500000000E1,3.000000000E0,-1.000000000E0
9.100795770E1,4.483389593E1,-5.721084275E-1,1.533400726E1,6.223413711E1,2.864450216E-1,2.644936661E2,1.991091685E-1,2.500000000E1,3.000000000E0,-1.000000000E0
9.200795078E1,4.483389829E1,-5.721198277E-1,1.533400726E1,6.223414586E1,3.955410719E-1,2.617536128E2,1.996499068E-1,2.500000000E1,3.000000000E0,-1.000000000E0
9.300794303E1,4.483389871E1,-5.721266593E-1,1.533400726E1,6.223415102E1,2.319041044E-1,2.331149847E2,2.005613822E-1,2.500000000E1,3.000000000E0,-1.000000000E0
